RegionName,State,CountyName,2026-03-31,2026-04-30,2026-05-31
New York,NY,Queens County,814827.6377290487,817470.6165453959,817744.5311508527
Los Angeles,CA,Los Angeles County,958968.1399353606,954655.051793252,951034.7672706615
Houston,TX,Harris County,266697.0435891465,265925.8404347888,264951.5077975978
Chicago,IL,Cook County,323843.857743952,325076.35462830384,325887.33628664614
San Antonio,TX,Bexar County,252276.6895330821,251837.22667193413,251064.62291158317
Philadelphia,PA,Philadelphia County,238276.14370044158,237652.29112675588,236883.30832230896
Phoenix,AZ,Maricopa County,414248.96576630784,413235.9265318212,411563.114864425
Las Vegas,NV,Clark County,428489.66776007746,427434.138947684,425748.9011894322
San Diego,CA,San Diego County,1009968.0591939372,1009090.3261777967,1007799.7913560942
Dallas,TX,Dallas County,315063.59669291676,313725.11302467063,312024.3484225392
Austin,TX,Travis County,517228.77552188677,513873.33422097727,510721.9044064839
San Jose,CA,Santa Clara County,1462870.7685455037,1450355.058025495,1438450.3323355976
Jacksonville,FL,Duval County,287965.5130568045,287895.36815009307,287324.97120582307
Charlotte,NC,Mecklenburg County,401816.3821801289,401144.88414051494,400095.52832910884
Indianapolis,IN,Marion County,234726.20086987433,234495.96685133807,233674.00981071408
Fort Worth,TX,Tarrant County,301960.1250248958,301366.4220481745,300444.5379348287
Orlando,FL,Orange County,377570.3258954035,376968.1926267418,376215.71804905473
San Francisco,CA,San Francisco County,1366158.8156213206,1377635.0667872876,1393772.8798301693
Tucson,AZ,Pima County,327327.83112434373,326981.87301667186,326241.50744061836
Columbus,OH,Franklin County,252636.03924295315,252142.5719183987,251235.81744928635
Miami,FL,Miami-Dade County,582725.963190941,582277.307170852,581864.3610969427
Louisville,KY,Jefferson County,267625.61869549466,267383.625218733,266708.1847557411
El Paso,TX,El Paso County,236599.60589978335,237100.64488502406,237326.78106991888
Denver,CO,Denver County,547134.4393863013,543002.0679989546,539712.4652875871
Seattle,WA,King County,880401.0144022959,872988.6694040754,865273.2602886158
Portland,OR,Multnomah County,545397.3797409436,543118.7358399144,540663.9836706575
Nashville,TN,Davidson County,439815.15024000447,438140.68846487766,436519.4155123094
